title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,target
Paramedic!,SOB X RBE,cali rap,2018,2018‑08‑31,97,65,86,-5,19,47,219,18,14,66,
Fight Night,Migos,atl hip hop,2014,2018‑08‑31,90,71,87,-5,33,90,216,18,21,68,
BUTTERFLY EFFECT,Travis Scott,rap,2018,2018‑08‑31,141,63,76,-6,11,19,191,5,5,86,
Portland,Drake,canadian hip hop,2017,2018‑08‑31,136,44,93,-8,28,35,237,2,26,74,
Gospel,Rich Brian,indonesian hip hop,2017,2018‑08‑31,156,66,68,-6,11,23,173,0,27,68,
I Like Me Better,Lauv,pop,2018,2018‑09‑01,92,51,75,-8,10,42,197,54,25,85,
SWEET,BROCKHAMPTON,boy band,2017,2018‑08‑31,92,63,72,-6,12,72,274,54,22,68,
Cocoa Butter Kisses,The Stairwells,,2016,2018‑08‑31,120,70,77,-6,7,62,144,60,12,50,
Icon,Jaden,hip hop,2017,2018‑08‑31,120,82,79,-5,57,49,221,22,23,73,
Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator",hip hop,2017,2018‑08‑31,115,49,71,-10,12,14,205,34,33,70,
Imagination,Shawn Mendes,canadian pop,2015,2018‑08‑31,179,46,48,-6,7,33,218,7,3,74,
Antidote,Travis Scott,rap,2015,2018‑08‑31,131,53,71,-5,12,13,263,1,3,79,
Plug Walk,Rich The Kid,atl hip hop,2018,2018‑08‑31,95,52,88,-7,11,16,175,20,14,76,
Best Part (feat. H.E.R.),Daniel Caesar,canadian contemporary r&b,2017,2018‑08‑31,75,36,52,-10,10,44,210,81,4,79,
Youth,Glass Animals,gauze pop,2016,2018‑08‑31,96,72,65,-8,11,79,231,13,3,67,
Firestone (feat. Conrad Sewell),Kygo,edm,2016,2018‑08‑31,113,65,49,-7,8,39,274,41,5,77,
Superhero,Lauv,pop,2018,2018‑09‑01,130,34,68,-9,28,42,180,82,3,72,
92 Explorer,Post Malone,dfw rap,2018,2018‑08‑31,146,73,80,-5,11,86,211,27,5,73,
Cherry Wine - Live,Hozier,irish singer-songwriter,2014,2018‑08‑31,82,11,42,-15,10,23,240,95,4,68,
"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii",XXXTENTACION,emo rap,2018,2018‑08‑31,90,56,77,-7,7,54,192,12,5,67,
6 Foot 7 Foot,Lil Wayne,hip hop,2011,2018‑08‑31,79,75,37,-5,32,60,249,0,30,69,
HYFR (Hell Ya Fucking Right),Drake,canadian hip hop,2011,2018‑08‑31,98,63,44,-9,8,36,207,12,25,68,
Eastside (with Halsey & Khalid),benny blanco,electropop,2018,2018‑08‑31,89,68,56,-8,12,32,174,56,32,82,
GHOST,Jaden,hip hop,2018,2018‑08‑31,148,53,78,-7,24,25,130,14,17,66,
R.I.C.O. (feat. Drake),Meek Mill,hip hop,2015,2018‑08‑31,168,60,73,-7,22,39,197,32,33,70,
Versace (Remix),Migos,atl hip hop,2015,2018‑09‑06,132,71,85,-4,34,33,246,2,24,60,
Moonlight,XXXTENTACION,emo rap,2018,2018‑08‑31,128,54,92,-6,10,71,135,56,8,85,
Call Out My Name,The Weeknd,canadian contemporary r&b,2018,2018‑08‑31,134,59,46,-5,31,18,228,17,4,83,
